,userId,company,jobTitle,company2,jobTitle2,school,schoolDegree,schoolDegree2,skill1,skill2,skill3,skill4,skill5,skill6,jobLocation2,SchoolDegree,type_skills
0,537645229.0,ncgr - national center for government resources sys.,Senior Data Analyst Expert,NCGR - National Center for Government Resources Sys.,Data Analyst - Data mangment and Business intelligence,king saud university,Bachelor Degree ، Information Technology,"Master's degree، Business Administration and Management, General",Project Management,Business Administration,Business Analysis,Quality Management,Data Analysis,Business Development,,Information Systems,Soft skills
1,398812136.0,public health authority of saudi arabia,Business Intelligence and Reporting Specialist,Public Health Authority of Saudi Arabia,Business Intelligence Specialist,thompson rivers university,Computer Science ، Software Engineering,Data Science,Data Analysis,Python,Teamwork,Statistical Data Analysis,Strategic Planning,Marketing,Riyadh,Computer Science,Unkown
2,230117062.0,bae systems sdt,Data and Report Analyst,BAE Systems SDT,Senior ELI,taif university,"English language with a minor degree in education، English Language and Literature, General","English Language Course، English Language and Literature, General",Microsoft Office,Microsoft Excel,PowerPoint,Microsoft Word,English,Social Media,,Information Systems,Unkown
3,513096312.0,شركة عالم النظم والبرامج,Business System Analyst,عمل مستقل,Data Analyst,al qussaim university,Bachelor's degree، Management Information Systems,,Data Analysis,Business Analysis,Management Information Systems (MIS),Agile Project Management,Database Administration,Data Science,,Management Information Systems,Unkown
4,796862246.0,basserah,Data Architect,Comptechco,Data Analyst,majmaah university|majmaah university,Bachelor's degree، Computer Software Engineering,,SQL,Data Visualization,Data Analysis,Mathematics,Project Management,Information Technology,,Software Engineeringe,programming languages
5,553491540.0,confidential,Data Analyst,KPMG,Data Analytics Consulting Intern,king saud university,Master of Science in E-Business,Bachelor Degree of Business Administration (BBA)، Management Information Systems (MIS),Tableau,SQL,Alteryx,Business Intelligence (BI),Data Mining,Enterprise Resource Planning (ERP),,Management Information Systems,Unkown
6,603693813.0,sdaia | سدايا,Information Security Specialist,Quant,Data Analyst,king saud university,Bachelor's degree، Information Technology,,Analytical Skills,Data Engineering,Java,Data Analysis,Data Visualization,"Extract, Transform, Load (ETL)",,Information Technology,Unkown
7,297518901.0,stc,Data Mining Supervisor,SAUDI PAYMENTS,Senior Business Analyst,san diego state university,Master's degree، Computer Sciences,Bachelor's degree، Computer,Product Management,Business Analysis,Analytical Skills,Data Mining,Big Data,Shell Scripting,Riyadh,Computer Science,Soft skills
8,716285126.0,communications and information technology commission (citc),IT Specialist,جامعة القصيم,Volunteer,al qussaim university,بكالوريوس ، تقنية المعلومات,,information security,project managment,Data Analysis,Machine Learning,Software Developer,,,Information Technology,Unkown
9,49461596.0,saudi industrial development fund - sidf,Senior Business Intelligence Analyst,Saudi Industrial Development Fund - SIDF,Information Analyst,university of brighton,MSc، Information Systems,Bachelor of Business Administration (B.B.A.)، Management Information Systems,Business Analysis,Information Management,Project Management,Systems Analysis,Project Planning,Knowledge Management,,Management Information Systems,Unkown
10,608682714.0,stc,Senior Quality Analyst,stc,Data Analyst,prince sultan university,Bachelor of science، Software Engineering,,Data Analysis,Business Analysis,Customer Experience Management,Business Process Management,Project Management,Python,"Riyadh, Saudi Arabia",Software Engineeringe,Unkown
11,703811734.0,ministry of health saudi arabia,Computer Specialist,Saudi Digital Academy,Artificial Intelligence Engineer Training Program,taibah university,Bachelor's Degree، Computer Science,Nanodegree، Data Analyst,Self Learning,Java,Python (Programming Language),Machine Learning,Graphic Design,Computer Vision,,Computer Science,Soft skills
12,763741681.0,the national commercial bank - alahlincb,Data Analyst,Taif University,Information Technology Staff,taif university,Deploma، Higher Education/Higher Education Administration,Bachelor's degree، Computer and informatin technology,Microsoft SQL Server,Database Administration,Data Analysis,Computer use,Customer Service,Data Privacy,,Information Systems,programming languages
13,647251074.0,الهيئة العامة للعقار,Data Analysis Specialist,"National Information Center, Ministry of Interior, Saudi Arabia",Data Analyst,king saud university,Bachelor of Technology - BTech، (Bachelor of Computer Information Systems (CIS,,Data Analysis,SQL,Microsoft SQL Server,Leadership,tableau,Requirements Analysis,الرياض,Information Systems,Unkown
14,706990301.0,success partners,Data Analyst,Success Partners,Hackathons Organizer,king abdulaziz university,Bachelor's degree، Computer Science,Nanodegree، Data Science,Microsoft Office,Microsoft Excel,Research,Project Management,Machine Learning,Computer Vision,,Computer Science,Unkown
15,832104203.0,diamond technology - التكنولوجيا الماسية,Technical Support Engineer,National Telecommunication Institute,"Soft Skills and Project Management ""training""",information technology institute (iti),Diploma of Education، Business Intelligence Specialist,Computer Science and lnformation System، Computer Science,Data Mining,Data Analysis,Business Intelligence (BI),Machine Learning,Computer Science,"Extract, Transform, Load (ETL)",,Information Systems,Unkown
16,790719412.0,codelab,Business Analyst,sirar by stc,Cybersecurity Product Management,princess nourah bint abdulrahman university,Bachelor's، Information Technology,,Data Analysis,Business analyst,Information Security,Linux System Administration,Software Engineers,Cloud Computing,Saudi Arabia,Information Technology,Unkown
17,549550047.0,confidential,Data Analyst,,,al qussaim university,Bachelor's degree، Computer Science,,Microsoft Excel,Microsoft Office,Microsoft PowerPoint,Strategic Planning,Microsoft Word,Teamwork,,Computer Science,Unkown
18,145647261.0,alsafi danone company,Business Intelligence Manager,ELM Company,Senior Solution Developer,sudan university of science and technology,Bachelor's Honor، Computer Science,,ETL,Data Modeling,Data Warehouse,Business Intelligence,ERP,Integration,,Computer Science,Unkown
19,119687580.0,mckinsey & company,Senior Analytics Analyst,McKinsey & Company,Data Analyst,university of florida - warrington college of business,Master of Science - MS، Information Systems and Operations Management - Business Intelligence and Analytics Track,Bachelor of Business Administration - BBA، Management Information Systems,Data Science,Data Visualization,Data Mining,Data Analysis,Project Planning,Project Management,,Management Information Systems,Unkown
